שם השכונה,מספר מקלט,כתובת,שטח,סוג,נגישות,מס' נפשות,שייכות,קואורדינטות ציר x,קורדינטות ציר y,כתובות למפה,מינהל,שכונה,קטגוריה,יום עברי,חודש עברי,שנה עברית,קרדיט
רחביה,מקלט ציבורי מספר 835,ארלוזורוב 18,190,מקלט,,152,"עיריית ירושלים, אגף חירום וביטחון",31.77226266,35.21589869,"ארלוזורוב 18, ירושלים",,,"רחביה, מקלט ציבורי",,,,
בקעה,מקלט ציבורי מספר 836,​מנשה 27,100,מקלט,,80,"עיריית ירושלים, אגף חירום וביטחון",31.75968621,35.21989257,"​מנשה 27, ירושלים",,,"בקעה, מקלט ציבורי",,,,
מקור ברוך,מקלט ציבורי מספר 839,"תשב""ץ 14",100,מקלט,,80,"עיריית ירושלים, אגף חירום וביטחון",31.78743779,35.20879377,"תשב""ץ 14, ירושלים",,,"מקור ברוך, מקלט ציבורי",,,,
עיר גנים,מקלט ציבורי מספר 840 - מקלט נגיש,קוסטה ריקה 70,100,מקלט,מקלט נגיש,32,"בית חב""ד",31.75303908,35.16703205,"קוסטה ריקה 70, ירושלים",,,"עיר גנים, מקלט נגיש, מקלט ציבורי",,,,
בית ישראל,מקלט ציבורי מספר 841,יואל 25,100​,מקלט,,80,בית כנסת מוסיוף,31.79120318,35.22139609,"יואל 25, ירושלים",,,"הבוכרים - בית ישראל, מקלט ציבורי",,,,
קטמון,מקלט ציבורי מספר 842 - מקלט נגיש,בר יוחאי 8,174,מקלט,מקלט נגיש,139,בית כנסת לעולי העדה האתיופית,31.75311816,35.19538627,"בר יוחאי 8, ירושלים",,,"קטמון, מקלט ציבורי, מקלט נגיש",,,,
עיר גנים,מקלט ציבורי מספר 901,איסלנד 13,150,מקלט,,120,"""בית הכנסת ""דוד משה",31.75927128,35.16653153,"איסלנד 13, ירושלים",,,"עיר גנים, מקלט ציבורי",,,,
עיר גנים,מקלט ציבורי מספר 902,הנורית 29,250,מקלט,,200,"עיריית ירושלים, אגף חברה, תנועת עזרא",31.75487408,35.16903666,"הנורית 29, ירושלים",,,"עיר גנים, מקלט ציבורי",,,,
עין כרם,מקלט ציבורי מספר 903,חומת הצלפים 82,120,מקלט,,96,"עיריית ירושלים, אגף חירום וביטחון",31.76842599,35.16359315,"חומת הצלפים 82, ירושלים",יובלים,עין כרם - 488,"עין כרם, מקלט ציבורי",,,,
גאולה,מקלט ציבורי מספר 904,הזית 7,125,מקלט,,100,עיריית ירושלים - אגף התברואה,31.79038842,35.2112935,"הזית 7, ירושלים",,,"גאולה, מקלט ציבורי",,,,
עיר גנים,מקלט ציבורי מספר 905,הנרד 1,138,מקלט,,110,"""תנועת הנוער ""עזרא",31.75717138,35.1708159,"הנרד 1, ירושלים",,,"עיר גנים, מקלט ציבורי",,,,
קטמון,מקלט ציבורי מספר 906,בר יוחאי 2,100,מקלט,,80,"""בית כנסת ""גל אברהם",31.75430501,35.19884543,"בר יוחאי 2, ירושלים",,,"קטמון, מקלט ציבורי",,,,
בית ישראל,​מקלט ציבורי מספר 908,שמשון פולנסקי 22,100,מקלט,,80,מינהל קהילתי בוכרים,31.79208743,35.2232357,"שמשון פולנסקי 22, ירושלים",,,"הבוכרים - בית ישראל, מקלט ציבורי",,,,
מקור ברוך,מקלט ציבורי מספר 909,יהודה המכבי 7,120,מקלט,,96,"עיריית ירושלים, אגף תרבות, גלריית תואר",31.78882674,35.20942097,"יהודה המכבי 7, ירושלים",,,"מקור ברוך, מקלט ציבורי",,,,
בוכרים,מקלט ציבורי מספר 910,עובדיה 22,100,מקלט,,80,בית ברכה - שייך לחסידות קרלין,31.79171933,35.21486308,"עובדיה 22, ירושלים",,,"הבוכרים - בית ישראל, מקלט ציבורי",,,,
קטמון,מקלט ציבורי מספר 923,אלעזר המודעי 15,100,מקלט,,80,"עיריית ירושלים, אגף חירום וביטחון",31.76199993734908,35.21387974927489,"אלעזר המודעי 15, ירושלים",,,"קטמון, מקלט ציבורי",,,,
זכרון משה,מקלט ציבורי מספר 928,פרי חדש 8,130,מקלט,,104,"""עמותת ""אור לאה",31.78741269,35.21757937,"פרי חדש 8, ירושלים",,,"מרכז העיר, מקלט ציבורי",,,,
מרכז העיר,מקלט ציבורי מספר 932,הגלבוע 38,100,מקלט,,80,מינהל קהילתי לב העיר,31.78310575,35.21285728,"הגלבוע 38, ירושלים",,,"מרכז העיר, מקלט ציבורי",,,,
רוממה,מקלט ציבורי מספר 933,"המ""ג 38",100,מקלט,,80,"""עמותת ""לב מלכה",31.79601192,35.1991455,"המ""ג 38, ירושלים",,,"רוממה, מקלט ציבורי",,,,
מחנה יהודה,מקלט ציבורי מספר 935,באר שבע 28,170,מקלט,,136,בית כנסת קהילתי,31.7827654,35.21055875,"באר שבע 28, ירושלים",,,"מרכז העיר, מקלט ציבורי",,,,
קטמון,מקלט ציבורי מספר 937,חזקיהו המלך 38,100,מקלט,,80,"עיריית ירושלים, אגף חירום וביטחון",31.76174784,35.20969289,"חזקיהו המלך 38, ירושלים",,,"גוננים - קטמונים, מקלט ציבורי",,,,
נווה שאנן,מקלט ציבורי מספר 939 - מקלט נגיש,נוה שאנן 17,100,מקלט,מקלט נגיש,80,"עיריית ירושלים, אגף תרבות, תיאטרון קומקום",31.77218105,35.20100356,"נווה שאנן 17, ירושלים",,,"נווה שאנן, מקלט נגיש, מקלט ציבורי",,,,
גבעת הורדים (רסקו),מקלט ציבורי מספר 949,הטייסים 33,100,מקלט,,80,מינהל קהילתי גינות העיר,31.76547348,35.20729202,"הטייסים 33, ירושלים",,,"רסקו - גבעת הורדים, מקלט ציבורי",,,,
שמואל הנביא,מקלט ציבורי מספר 957,אבינדב 19,450,מקלט,,360,"""בית כנסת ""אגודת אור הצפון",31.79461697,35.2189116,"אבינדב 19, ירושלים",,,"שמואל הנביא, מקלט ציבורי",,,,
מחנה יהודה,מקלט ציבורי מספר 961,אבן ספיר 17,100,מקלט,,80,"""תנועת הנוער ""אריאל",31.78076286,35.21112847,"אבן ספיר 17, ירושלים",,,"מרכז העיר, מקלט ציבורי",,,,
קריית היובל,מקלט ציבורי מספר 963,זנגויל ישראל 11,100,מקלט,,80,"""בית הכנסת ""שיח ישראל",31.76583584,35.1773224,"ישראל זנגוויל 11, ירושלים",,,"קריית יובל, מקלט ציבורי",,,,
קריית היובל,מקלט ציבורי מספר 964,מאיר גרונולד 8,180,מקלט,,144,"עיריית ירושלים, אגף חירום וביטחון",31.75728607,35.1760216,"מאיר גרונולד 8, ירושלים",,,"קריית יובל, מקלט ציבורי",,,,
קטמון,מקלט ציבורי מספר 965,יצחק שדה 7,100,מקלט,,80,"""בית כנסת ""חבצלת השרון",31.75373649,35.19636583,"יצחק שדה 7, ירושלים",,,"גוננים - קטמונים, מקלט ציבורי",,,,
